date,mode,ridership
2019-01-21,Bus,315904
2019-01-21,LRT,455537
2019-01-21,MRT,248643
2019-01-21,Monorail,62700
2019-01-21,KTM,219753
2019-01-22,Bus,316999
2019-01-22,LRT,465580
2019-01-22,MRT,258644
2019-01-22,Monorail,66135
2019-01-22,KTM,230457
2019-01-23,Bus,325136
2019-01-23,LRT,450021
2019-01-23,MRT,252573
2019-01-23,Monorail,62862
2019-01-23,KTM,225725
2019-01-24,Bus,321105
2019-01-24,LRT,446443
2019-01-24,MRT,249340
2019-01-24,Monorail,67066
2019-01-24,KTM,231956
2019-01-25,Bus,308914
2019-01-25,LRT,464689
2019-01-25,MRT,264156
2019-01-25,Monorail,65480
2019-01-25,KTM,233891
2019-01-26,Bus,225468
2019-01-26,LRT,324162
2019-01-26,MRT,180897
2019-01-26,Monorail,44140
2019-01-26,KTM,175994
2019-01-27,Bus,201491
2019-01-27,LRT,289606
2019-01-27,MRT,164738
2019-01-27,Monorail,38831
2019-01-27,KTM,130294
2019-01-28,Bus,217804
2019-01-28,LRT,320117
2019-01-28,MRT,182921
2019-01-28,Monorail,44206
2019-01-28,KTM,159049
2019-01-29,Bus,220468
2019-01-29,LRT,314349
2019-01-29,MRT,183033
2019-01-29,Monorail,45116
2019-01-29,KTM,159343
2019-01-30,Bus,221039
2019-01-30,LRT,311473
2019-01-30,MRT,179624
2019-01-30,Monorail,44565
2019-01-30,KTM,160702
2019-01-31,Bus,228421
2019-01-31,LRT,328598
2019-01-31,MRT,175703
2019-01-31,Monorail,43224
2019-01-31,KTM,162879
2019-02-01,Bus,218343
2019-02-01,LRT,315442
2019-02-01,MRT,173909
2019-02-01,Monorail,42514
2019-02-01,KTM,160237
2019-02-02,Bus,160003
2019-02-02,LRT,224206
2019-02-02,MRT,123998
2019-02-02,Monorail,32690
2019-02-02,KTM,107172
2019-02-03,Bus,186828
2019-02-03,LRT,283391
2019-02-03,MRT,137375
2019-02-03,Monorail,39801
2019-02-03,KTM,143462
2019-02-04,Bus,314816
2019-02-04,LRT,457059
2019-02-04,MRT,253495
2019-02-04,Monorail,63421
2019-02-04,KTM,226382
2019-02-05,Bus,319141
2019-02-05,LRT,463149
2019-02-05,MRT,249551
2019-02-05,Monorail,63662
2019-02-05,KTM,223030
2019-02-06,Bus,308820
2019-02-06,LRT,429708
2019-02-06,MRT,253678
2019-02-06,Monorail,61846
2019-02-06,KTM,229049
2019-02-07,Bus,303289
2019-02-07,LRT,464413
2019-02-07,MRT,246147
2019-02-07,Monorail,63330
2019-02-07,KTM,229244
2019-02-08,Bus,305006
2019-02-08,LRT,456322
2019-02-08,MRT,251806
2019-02-08,Monorail,67840
2019-02-08,KTM,229605
2019-02-09,Bus,228618
2019-02-09,LRT,313935
2019-02-09,MRT,166867
2019-02-09,Monorail,47511
2019-02-09,KTM,155774
2019-02-10,Bus,198250
2019-02-10,LRT,264879
2019-02-10,MRT,143618
2019-02-10,Monorail,38326
2019-02-10,KTM,142591
2019-02-11,Bus,308247
2019-02-11,LRT,453288
2019-02-11,MRT,226797
2019-02-11,Monorail,61619
2019-02-11,KTM,228602
2019-02-12,Bus,302979
2019-02-12,LRT,443489
2019-02-12,MRT,244381
2019-02-12,Monorail,56977
2019-02-12,KTM,230405
2019-02-13,Bus,308781
2019-02-13,LRT,429877
2019-02-13,MRT,239165
2019-02-13,Monorail,64554
2019-02-13,KTM,233677
2019-02-14,Bus,306066
2019-02-14,LRT,439933
2019-02-14,MRT,237828
2019-02-14,Monorail,63918
2019-02-14,KTM,233210
2019-02-15,Bus,310468
2019-02-15,LRT,470106
2019-02-15,MRT,246961
2019-02-15,Monorail,61238
2019-02-15,KTM,225577
2019-02-16,Bus,224524
2019-02-16,LRT,316849
2019-02-16,MRT,172468
2019-02-16,Monorail,42000
2019-02-16,KTM,168458
2019-02-17,Bus,192790
2019-02-17,LRT,265177
2019-02-17,MRT,140141
2019-02-17,Monorail,36264
2019-02-17,KTM,131389
2019-02-18,Bus,309679
2019-02-18,LRT,427892
2019-02-18,MRT,262838
2019-02-18,Monorail,62902
2019-02-18,KTM,229312
2019-02-19,Bus,297725
2019-02-19,LRT,455749
2019-02-19,MRT,242740
2019-02-19,Monorail,61773
2019-02-19,KTM,219422
2019-02-20,Bus,304770
2019-02-20,LRT,442972
2019-02-20,MRT,234386
2019-02-20,Monorail,63206
2019-02-20,KTM,215114
2019-02-21,Bus,304528
2019-02-21,LRT,461981
2019-02-21,MRT,237195
2019-02-21,Monorail,61936
2019-02-21,KTM,229204
2019-02-22,Bus,288900
2019-02-22,LRT,432697
2019-02-22,MRT,240639
2019-02-22,Monorail,63562
2019-02-22,KTM,220076
2019-02-23,Bus,221860
2019-02-23,LRT,323109
2019-02-23,MRT,172615
2019-02-23,Monorail,45062
2019-02-23,KTM,161967
2019-02-24,Bus,184445
2019-02-24,LRT,259598
2019-02-24,MRT,159533
2019-02-24,Monorail,39742
2019-02-24,KTM,134006
2019-02-25,Bus,298581
2019-02-25,LRT,444943
2019-02-25,MRT,240273
2019-02-25,Monorail,57326
2019-02-25,KTM,234517
2019-02-26,Bus,298777
2019-02-26,LRT,430840
2019-02-26,MRT,254707
2019-02-26,Monorail,58901
2019-02-26,KTM,232033
2019-02-27,Bus,309691
2019-02-27,LRT,448123
2019-02-27,MRT,236838
2019-02-27,Monorail,60503
2019-02-27,KTM,227990
2019-02-28,Bus,298038
2019-02-28,LRT,436629
2019-02-28,MRT,243038
2019-02-28,Monorail,63224
2019-02-28,KTM,217620
2019-03-01,Bus,299337
2019-03-01,LRT,423266
2019-03-01,MRT,244927
2019-03-01,Monorail,64107
2019-03-01,KTM,222514
2019-03-02,Bus,199509
2019-03-02,LRT,313463
2019-03-02,MRT,179594
2019-03-02,Monorail,43128
2019-03-02,KTM,156956
2019-03-03,Bus,184741
2019-03-03,LRT,253802
2019-03-03,MRT,156581
2019-03-03,Monorail,36162
2019-03-03,KTM,138006
2019-03-04,Bus,288859
2019-03-04,LRT,401804
2019-03-04,MRT,233904
2019-03-04,Monorail,56341
2019-03-04,KTM,213931
2019-03-05,Bus,297376
2019-03-05,LRT,433713
2019-03-05,MRT,235563
2019-03-05,Monorail,61740
2019-03-05,KTM,223737
2019-03-06,Bus,297392
2019-03-06,LRT,412672
2019-03-06,MRT,216255
2019-03-06,Monorail,58886
2019-03-06,KTM,215688
2019-03-07,Bus,297260
2019-03-07,LRT,421588
2019-03-07,MRT,233338
2019-03-07,Monorail,65629
2019-03-07,KTM,216044
2019-03-08,Bus,287626
2019-03-08,LRT,427326
2019-03-08,MRT,242797
2019-03-08,Monorail,58320
2019-03-08,KTM,210700
2019-03-09,Bus,208302
2019-03-09,LRT,316391
2019-03-09,MRT,175383
2019-03-09,Monorail,47062
2019-03-09,KTM,153709
2019-03-10,Bus,192589
2019-03-10,LRT,259058
2019-03-10,MRT,144211
2019-03-10,Monorail,38388
2019-03-10,KTM,127102
2019-03-11,Bus,289468
2019-03-11,LRT,440780
2019-03-11,MRT,246267
2019-03-11,Monorail,57456
2019-03-11,KTM,217562
2019-03-12,Bus,285192
2019-03-12,LRT,417449
2019-03-12,MRT,229932
2019-03-12,Monorail,59812
2019-03-12,KTM,207614
2019-03-13,Bus,292702
2019-03-13,LRT,422856
2019-03-13,MRT,226990
2019-03-13,Monorail,60761
2019-03-13,KTM,219366
2019-03-14,Bus,281401
2019-03-14,LRT,415562
2019-03-14,MRT,228483
2019-03-14,Monorail,58714
2019-03-14,KTM,223654
2019-03-15,Bus,298818
2019-03-15,LRT,402048
2019-03-15,MRT,223070
2019-03-15,Monorail,60684
2019-03-15,KTM,211973
2019-03-16,Bus,210737
2019-03-16,LRT,314407
2019-03-16,MRT,171260
2019-03-16,Monorail,44032
2019-03-16,KTM,161158
2019-03-17,Bus,186354
2019-03-17,LRT,237621
2019-03-17,MRT,145325
2019-03-17,Monorail,37644
2019-03-17,KTM,140593
2019-03-18,Bus,288450
2019-03-18,LRT,415119
2019-03-18,MRT,235086
2019-03-18,Monorail,58702
2019-03-18,KTM,219301
2019-03-19,Bus,288506
2019-03-19,LRT,421907
2019-03-19,MRT,226832
2019-03-19,Monorail,56337
2019-03-19,KTM,206580
2019-03-20,Bus,289573
2019-03-20,LRT,403323
2019-03-20,MRT,229138
2019-03-20,Monorail,58371
2019-03-20,KTM,201849
2019-03-21,Bus,281148
2019-03-21,LRT,415636
2019-03-21,MRT,212494
2019-03-21,Monorail,58756
2019-03-21,KTM,207504
2019-03-22,Bus,288366
2019-03-22,LRT,423624
2019-03-22,MRT,231611
2019-03-22,Monorail,54646
2019-03-22,KTM,209085
2019-03-23,Bus,207560
2019-03-23,LRT,310206
2019-03-23,MRT,165135
2019-03-23,Monorail,42231
2019-03-23,KTM,143877
2019-03-24,Bus,172651
2019-03-24,LRT,246234
2019-03-24,MRT,132863
2019-03-24,Monorail,35824
2019-03-24,KTM,119825
2019-03-25,Bus,279288
2019-03-25,LRT,401800
2019-03-25,MRT,226639
2019-03-25,Monorail,55446
2019-03-25,KTM,217169
2019-03-26,Bus,274279
2019-03-26,LRT,400101
2019-03-26,MRT,225031
2019-03-26,Monorail,57214
2019-03-26,KTM,204925
2019-03-27,Bus,291784
2019-03-27,LRT,419477
2019-03-27,MRT,240061
2019-03-27,Monorail,57144
2019-03-27,KTM,212060
2019-03-28,Bus,283571
2019-03-28,LRT,409529
2019-03-28,MRT,218005
2019-03-28,Monorail,61403
2019-03-28,KTM,216986
2019-03-29,Bus,279707
2019-03-29,LRT,389458
2019-03-29,MRT,228214
2019-03-29,Monorail,57955
2019-03-29,KTM,204162
2019-03-30,Bus,202379
2019-03-30,LRT,294062
2019-03-30,MRT,153822
2019-03-30,Monorail,43357
2019-03-30,KTM,152776
2019-03-31,Bus,176568
2019-03-31,LRT,257844
2019-03-31,MRT,135097
2019-03-31,Monorail,35295
2019-03-31,KTM,125724
2019-04-01,Bus,286296
2019-04-01,LRT,411206
2019-04-01,MRT,224291
2019-04-01,Monorail,52978
2019-04-01,KTM,204190
2019-04-02,Bus,284097
2019-04-02,LRT,401633
2019-04-02,MRT,220106
2019-04-02,Monorail,57829
2019-04-02,KTM,198130
2019-04-03,Bus,271810
2019-04-03,LRT,396520
2019-04-03,MRT,221224
2019-04-03,Monorail,55119
2019-04-03,KTM,200131
2019-04-04,Bus,273323
2019-04-04,LRT,420768
2019-04-04,MRT,223360
2019-04-04,Monorail,55632
2019-04-04,KTM,209225
2019-04-05,Bus,263719
2019-04-05,LRT,390491
2019-04-05,MRT,216580
2019-04-05,Monorail,54116
2019-04-05,KTM,202458
2019-04-06,Bus,187697
2019-04-06,LRT,291836
2019-04-06,MRT,165089
2019-04-06,Monorail,40499
2019-04-06,KTM,132276
2019-04-07,Bus,165711
2019-04-07,LRT,234303
2019-04-07,MRT,133712
2019-04-07,Monorail,36756
2019-04-07,KTM,132007
2019-04-08,Bus,264623
2019-04-08,LRT,402725
2019-04-08,MRT,218222
2019-04-08,Monorail,57634
2019-04-08,KTM,197662
2019-04-09,Bus,271281
2019-04-09,LRT,387545
2019-04-09,MRT,221265
2019-04-09,Monorail,58789
2019-04-09,KTM,197131
2019-04-10,Bus,266070
2019-04-10,LRT,386882
2019-04-10,MRT,219768
2019-04-10,Monorail,58946
2019-04-10,KTM,201455
2019-04-11,Bus,270087
2019-04-11,LRT,381594
2019-04-11,MRT,222487
2019-04-11,Monorail,51467
2019-04-11,KTM,204526
2019-04-12,Bus,280374
2019-04-12,LRT,389176
2019-04-12,MRT,219509
2019-04-12,Monorail,53008
2019-04-12,KTM,218879
2019-04-13,Bus,195530
2019-04-13,LRT,284156
2019-04-13,MRT,159545
2019-04-13,Monorail,36228
2019-04-13,KTM,146954
2019-04-14,Bus,176196
2019-04-14,LRT,233665
2019-04-14,MRT,131510
2019-04-14,Monorail,35389
2019-04-14,KTM,116275
2019-04-15,Bus,257577
2019-04-15,LRT,397381
2019-04-15,MRT,207469
2019-04-15,Monorail,53617
2019-04-15,KTM,197442
2019-04-16,Bus,269522
2019-04-16,LRT,389871
2019-04-16,MRT,204240
2019-04-16,Monorail,53891
2019-04-16,KTM,199390
2019-04-17,Bus,262079
2019-04-17,LRT,382747
2019-04-17,MRT,201894
2019-04-17,Monorail,54299
2019-04-17,KTM,196577
2019-04-18,Bus,269895
2019-04-18,LRT,400555
2019-04-18,MRT,227671
2019-04-18,Monorail,55343
2019-04-18,KTM,203771
2019-04-19,Bus,265314
2019-04-19,LRT,394872
2019-04-19,MRT,196768
2019-04-19,Monorail,51575
2019-04-19,KTM,194146
2019-04-20,Bus,183215
2019-04-20,LRT,279642
2019-04-20,MRT,162638
2019-04-20,Monorail,36674
2019-04-20,KTM,140020
2019-04-21,Bus,168504
2019-04-21,LRT,248828
2019-04-21,MRT,125599
2019-04-21,Monorail,33619
2019-04-21,KTM,121355
2019-04-22,Bus,271618
2019-04-22,LRT,401135
2019-04-22,MRT,221287
2019-04-22,Monorail,56431
2019-04-22,KTM,184606
2019-04-23,Bus,257000
2019-04-23,LRT,378305
2019-04-23,MRT,194862
2019-04-23,Monorail,53916
2019-04-23,KTM,201330
2019-04-24,Bus,255028
2019-04-24,LRT,370570
2019-04-24,MRT,209412
2019-04-24,Monorail,52294
2019-04-24,KTM,197608
2019-04-25,Bus,257553
2019-04-25,LRT,370984
2019-04-25,MRT,221830
2019-04-25,Monorail,49521
2019-04-25,KTM,195805
2019-04-26,Bus,260727
2019-04-26,LRT,385834
2019-04-26,MRT,215658
2019-04-26,Monorail,55439
2019-04-26,KTM,182295
2019-04-27,Bus,193958
2019-04-27,LRT,288525
2019-04-27,MRT,148400
2019-04-27,Monorail,37050
2019-04-27,KTM,132904
2019-04-28,Bus,165892
2019-04-28,LRT,235503
2019-04-28,MRT,114831
2019-04-28,Monorail,30822
2019-04-28,KTM,114206
2019-04-29,Bus,266735
2019-04-29,LRT,362250
2019-04-29,MRT,198557
2019-04-29,Monorail,49847
2019-04-29,KTM,192899
2019-04-30,Bus,259380
2019-04-30,LRT,367355
2019-04-30,MRT,218788
2019-04-30,Monorail,50255
2019-04-30,KTM,201204
2019-05-01,Bus,212596
2019-05-01,LRT,305804
2019-05-01,MRT,166870
2019-05-01,Monorail,41555
2019-05-01,KTM,154313
2019-05-02,Bus,207815
2019-05-02,LRT,308239
2019-05-02,MRT,168183
2019-05-02,Monorail,42603
2019-05-02,KTM,151592
2019-05-03,Bus,213864
2019-05-03,LRT,306776
2019-05-03,MRT,169989
2019-05-03,Monorail,40944
2019-05-03,KTM,148925
2019-05-04,Bus,196366
2019-05-04,LRT,262246
2019-05-04,MRT,137358
2019-05-04,Monorail,37916
2019-05-04,KTM,139949
2019-05-05,Bus,162678
2019-05-05,LRT,235099
2019-05-05,MRT,129658
2019-05-05,Monorail,31775
2019-05-05,KTM,112946
2019-05-06,Bus,251780
2019-05-06,LRT,372337
2019-05-06,MRT,200369
2019-05-06,Monorail,56226
2019-05-06,KTM,180997
2019-05-07,Bus,264884
2019-05-07,LRT,367121
2019-05-07,MRT,205305
2019-05-07,Monorail,48436
2019-05-07,KTM,183116
2019-05-08,Bus,241701
2019-05-08,LRT,369618
2019-05-08,MRT,198112
2019-05-08,Monorail,51941
2019-05-08,KTM,184861
2019-05-09,Bus,252102
2019-05-09,LRT,375362
2019-05-09,MRT,189975
2019-05-09,Monorail,51832
2019-05-09,KTM,172711
2019-05-10,Bus,247317
2019-05-10,LRT,374888
2019-05-10,MRT,198213
2019-05-10,Monorail,49349
2019-05-10,KTM,179023
2019-05-11,Bus,180468
2019-05-11,LRT,255316
2019-05-11,MRT,149589
2019-05-11,Monorail,37067
2019-05-11,KTM,136452
2019-05-12,Bus,146156
2019-05-12,LRT,221676
2019-05-12,MRT,127278
2019-05-12,Monorail,33176
2019-05-12,KTM,114634
2019-05-13,Bus,249436
2019-05-13,LRT,368932
2019-05-13,MRT,200131
2019-05-13,Monorail,51142
2019-05-13,KTM,184576
2019-05-14,Bus,250428
2019-05-14,LRT,379858
2019-05-14,MRT,206233
2019-05-14,Monorail,53518
2019-05-14,KTM,183291
2019-05-15,Bus,242875
2019-05-15,LRT,358825
2019-05-15,MRT,197271
2019-05-15,Monorail,46435
2019-05-15,KTM,190453
2019-05-16,Bus,250888
2019-05-16,LRT,348328
2019-05-16,MRT,198725
2019-05-16,Monorail,48903
2019-05-16,KTM,180980
2019-05-17,Bus,245137
2019-05-17,LRT,355223
2019-05-17,MRT,194088
2019-05-17,Monorail,53285
2019-05-17,KTM,183494
2019-05-18,Bus,183736
2019-05-18,LRT,254727
2019-05-18,MRT,149317
2019-05-18,Monorail,37974
2019-05-18,KTM,142110
2019-05-19,Bus,159762
2019-05-19,LRT,232555
2019-05-19,MRT,124173
2019-05-19,Monorail,32138
2019-05-19,KTM,106749
2019-05-20,Bus,264782
2019-05-20,LRT,349483
2019-05-20,MRT,191882
2019-05-20,Monorail,52402
2019-05-20,KTM,184057
2019-05-21,Bus,243354
2019-05-21,LRT,337926
2019-05-21,MRT,184211
2019-05-21,Monorail,46122
2019-05-21,KTM,172778
2019-05-22,Bus,235080
2019-05-22,LRT,346523
2019-05-22,MRT,203514
2019-05-22,Monorail,51273
2019-05-22,KTM,172794
2019-05-23,Bus,228568
2019-05-23,LRT,325862
2019-05-23,MRT,188826
2019-05-23,Monorail,51659
2019-05-23,KTM,170127
2019-05-24,Bus,245754
2019-05-24,LRT,319579
2019-05-24,MRT,194525
2019-05-24,Monorail,48160
2019-05-24,KTM,177034
2019-05-25,Bus,170505
2019-05-25,LRT,249700
2019-05-25,MRT,157267
2019-05-25,Monorail,40627
2019-05-25,KTM,124604
2019-05-26,Bus,147685
2019-05-26,LRT,242161
2019-05-26,MRT,125720
2019-05-26,Monorail,30866
2019-05-26,KTM,118492
2019-05-27,Bus,236187
2019-05-27,LRT,366614
2019-05-27,MRT,204663
2019-05-27,Monorail,44751
2019-05-27,KTM,178663
2019-05-28,Bus,235838
2019-05-28,LRT,338719
2019-05-28,MRT,187674
2019-05-28,Monorail,49631
2019-05-28,KTM,177319
2019-05-29,Bus,248392
2019-05-29,LRT,344652
2019-05-29,MRT,199436
2019-05-29,Monorail,47344
2019-05-29,KTM,166279
2019-05-30,Bus,239787
2019-05-30,LRT,335442
2019-05-30,MRT,190898
2019-05-30,Monorail,50880
2019-05-30,KTM,167763
2019-05-31,Bus,240407
2019-05-31,LRT,348119
2019-05-31,MRT,192945
2019-05-31,Monorail,49537
2019-05-31,KTM,171913
2019-06-01,Bus,162760
2019-06-01,LRT,237283
2019-06-01,MRT,151603
2019-06-01,Monorail,33537
2019-06-01,KTM,129000
2019-06-02,Bus,130278
2019-06-02,LRT,209170
2019-06-02,MRT,114762
2019-06-02,Monorail,32726
2019-06-02,KTM,105848
2019-06-03,Bus,231722
2019-06-03,LRT,331747
2019-06-03,MRT,188136
2019-06-03,Monorail,49751
2019-06-03,KTM,177296
2019-06-04,Bus,239859
2019-06-04,LRT,337738
2019-06-04,MRT,180528
2019-06-04,Monorail,46164
2019-06-04,KTM,163537
2019-06-05,Bus,245140
2019-06-05,LRT,342467
2019-06-05,MRT,193684
2019-06-05,Monorail,47341
2019-06-05,KTM,166005
2019-06-06,Bus,231436
2019-06-06,LRT,330626
2019-06-06,MRT,182047
2019-06-06,Monorail,48505
2019-06-06,KTM,172455
2019-06-07,Bus,233302
2019-06-07,LRT,335411
2019-06-07,MRT,193607
2019-06-07,Monorail,46646
2019-06-07,KTM,178359
2019-06-08,Bus,170189
2019-06-08,LRT,237980
2019-06-08,MRT,120745
2019-06-08,Monorail,33343
2019-06-08,KTM,125492
2019-06-09,Bus,135443
2019-06-09,LRT,199271
2019-06-09,MRT,118698
2019-06-09,Monorail,29258
2019-06-09,KTM,100875
2019-06-10,Bus,219425
2019-06-10,LRT,317292
2019-06-10,MRT,179202
2019-06-10,Monorail,44856
2019-06-10,KTM,173991
2019-06-11,Bus,227776
2019-06-11,LRT,332031
2019-06-11,MRT,189161
2019-06-11,Monorail,42439
2019-06-11,KTM,180522
2019-06-12,Bus,231984
2019-06-12,LRT,332778
2019-06-12,MRT,182916
2019-06-12,Monorail,47118
2019-06-12,KTM,171579
2019-06-13,Bus,226994
2019-06-13,LRT,311259
2019-06-13,MRT,178371
2019-06-13,Monorail,42633
2019-06-13,KTM,163751
2019-06-14,Bus,233602
2019-06-14,LRT,320050
2019-06-14,MRT,178956
2019-06-14,Monorail,44434
2019-06-14,KTM,171855
2019-06-15,Bus,160705
2019-06-15,LRT,226852
2019-06-15,MRT,124073
2019-06-15,Monorail,29830
2019-06-15,KTM,133876
2019-06-16,Bus,146401
2019-06-16,LRT,222371
2019-06-16,MRT,118509
2019-06-16,Monorail,25360
2019-06-16,KTM,105101
2019-06-17,Bus,226817
2019-06-17,LRT,309138
2019-06-17,MRT,172230
2019-06-17,Monorail,46778
2019-06-17,KTM,159415
2019-06-18,Bus,219192
2019-06-18,LRT,327016
2019-06-18,MRT,177655
2019-06-18,Monorail,45372
2019-06-18,KTM,166970
2019-06-19,Bus,221015
2019-06-19,LRT,332973
2019-06-19,MRT,181786
2019-06-19,Monorail,45161
2019-06-19,KTM,164309
2019-06-20,Bus,217275
2019-06-20,LRT,316336
2019-06-20,MRT,190935
2019-06-20,Monorail,42957
2019-06-20,KTM,159966
2019-06-21,Bus,227734
2019-06-21,LRT,319642
2019-06-21,MRT,177967
2019-06-21,Monorail,44103
2019-06-21,KTM,169401
2019-06-22,Bus,161213
2019-06-22,LRT,232133
2019-06-22,MRT,125934
2019-06-22,Monorail,33308
2019-06-22,KTM,118313
2019-06-23,Bus,133216
2019-06-23,LRT,202142
2019-06-23,MRT,111792
2019-06-23,Monorail,27861
2019-06-23,KTM,106330
2019-06-24,Bus,215070
2019-06-24,LRT,319551
2019-06-24,MRT,160518
2019-06-24,Monorail,46564
2019-06-24,KTM,155241
2019-06-25,Bus,224879
2019-06-25,LRT,306973
2019-06-25,MRT,166658
2019-06-25,Monorail,46701
2019-06-25,KTM,165397
2019-06-26,Bus,225216
2019-06-26,LRT,316585
2019-06-26,MRT,172405
2019-06-26,Monorail,44186
2019-06-26,KTM,156026
2019-06-27,Bus,217562
2019-06-27,LRT,304713
2019-06-27,MRT,169271
2019-06-27,Monorail,40926
2019-06-27,KTM,161997
2019-06-28,Bus,218474
2019-06-28,LRT,320783
2019-06-28,MRT,161927
2019-06-28,Monorail,42922
2019-06-28,KTM,166144
2019-06-29,Bus,159121
2019-06-29,LRT,235298
2019-06-29,MRT,131571
2019-06-29,Monorail,31674
2019-06-29,KTM,110196
2019-06-30,Bus,145048
2019-06-30,LRT,203903
2019-06-30,MRT,109293
2019-06-30,Monorail,25838
2019-06-30,KTM,96212
2019-07-01,Bus,211258
2019-07-01,LRT,313048
2019-07-01,MRT,174068
2019-07-01,Monorail,42040
2019-07-01,KTM,163933
2019-07-02,Bus,213764
2019-07-02,LRT,313687
2019-07-02,MRT,167136
2019-07-02,Monorail,44093
2019-07-02,KTM,160421
2019-07-03,Bus,221803
2019-07-03,LRT,322511
2019-07-03,MRT,172503
2019-07-03,Monorail,48556
2019-07-03,KTM,163353
2019-07-04,Bus,221007
2019-07-04,LRT,316604
2019-07-04,MRT,175283
2019-07-04,Monorail,42725
2019-07-04,KTM,152658
2019-07-05,Bus,219890
2019-07-05,LRT,313230
2019-07-05,MRT,168772
2019-07-05,Monorail,43532
2019-07-05,KTM,155571
2019-07-06,Bus,155082
2019-07-06,LRT,228420
2019-07-06,MRT,125982
2019-07-06,Monorail,28688
2019-07-06,KTM,113343
2019-07-07,Bus,123565
2019-07-07,LRT,202353
2019-07-07,MRT,99127
2019-07-07,Monorail,29245
2019-07-07,KTM,99277
2019-07-08,Bus,203716
2019-07-08,LRT,297524
2019-07-08,MRT,169905
2019-07-08,Monorail,44825
2019-07-08,KTM,151518
2019-07-09,Bus,225580
2019-07-09,LRT,287997
2019-07-09,MRT,177354
2019-07-09,Monorail,44551
2019-07-09,KTM,172184
2019-07-10,Bus,222704
2019-07-10,LRT,306932
2019-07-10,MRT,177495
2019-07-10,Monorail,45493
2019-07-10,KTM,157369
2019-07-11,Bus,212866
2019-07-11,LRT,294625
2019-07-11,MRT,177683
2019-07-11,Monorail,41870
2019-07-11,KTM,144179
2019-07-12,Bus,213318
2019-07-12,LRT,285632
2019-07-12,MRT,169169
2019-07-12,Monorail,41975
2019-07-12,KTM,151637
2019-07-13,Bus,155127
2019-07-13,LRT,223714
2019-07-13,MRT,120081
2019-07-13,Monorail,33881
2019-07-13,KTM,112508
2019-07-14,Bus,120563
2019-07-14,LRT,201899
2019-07-14,MRT,99426
2019-07-14,Monorail,27453
2019-07-14,KTM,98372
2019-07-15,Bus,200011
2019-07-15,LRT,278335
2019-07-15,MRT,151536
2019-07-15,Monorail,37824
2019-07-15,KTM,157257
2019-07-16,Bus,209696
2019-07-16,LRT,309933
2019-07-16,MRT,154536
2019-07-16,Monorail,42901
