date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_lrt_kj,rail_monorail,rail_mrt_kajang,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter,rail_komuter_utara,rail_tebrau
2019-03-23,115145,14247,78168,96716,213490,42231,165135,0,9085,5365,113966,13236,2225
2019-03-24,100103,8103,64445,78191,168043,35824,132863,0,10472,3830,90311,12400,2812
2019-03-25,162270,14304,102714,125282,276518,55446,226639,0,13637,7138,170692,22660,3042
2019-03-26,157454,14080,102745,131753,268348,57214,225031,0,15118,7480,154366,23256,4705
2019-03-27,166441,18457,106886,132941,286536,57144,240061,0,12571,5946,169525,20164,3854
2019-03-28,160834,15240,107497,132561,276968,61403,218005,0,12565,6017,176180,18682,3542
2019-03-29,163177,15844,100686,129262,260196,57955,228214,0,13664,4823,159408,22630,3637
2019-03-30,119863,10826,71690,92786,201276,43357,153822,0,10381,2673,119801,15367,4554
2019-03-31,103194,8433,64941,81539,176305,35295,135097,0,8120,5174,98895,11096,2439
2019-04-01,164253,15293,106750,127655,283551,52978,224291,0,13725,6307,165775,16244,2139
2019-04-02,159705,19180,105212,128433,273200,57829,220106,0,14098,6405,154229,19423,3975
2019-04-03,157581,17597,96632,126708,269812,55119,221224,0,11359,4669,159798,20131,4174
2019-04-04,159152,14298,99873,129227,291541,55632,223360,0,12789,7648,166421,19055,3312
2019-04-05,149933,16449,97337,118223,272268,54116,216580,0,12521,5135,159596,21777,3429
2019-04-06,106428,9932,71337,89457,202379,40499,165089,0,8865,2829,105825,13682,1075
2019-04-07,91016,6990,67705,71341,162962,36756,133712,0,8712,2587,105593,12823,2292
2019-04-08,152745,16893,94985,125715,277010,57634,218222,0,12457,7531,151667,24169,1838
2019-04-09,160131,17064,94086,131388,256157,58789,221265,0,10403,3898,158957,20741,3132
2019-04-10,152574,16865,96631,121916,264966,58946,219768,0,12763,4373,161413,20347,2559
2019-04-11,155149,14626,100312,124263,257331,51467,222487,0,11617,9288,158502,20337,4782
2019-04-12,164080,15034,101260,126731,262445,53008,219509,0,13695,6634,171575,21435,5540
2019-04-13,110747,12066,72717,79687,204469,36228,159545,0,10445,2863,117218,15496,932
2019-04-14,100925,9999,65272,73924,159741,35389,131510,0,5104,1851,96092,11106,2122
2019-04-15,150695,14603,92279,124208,273173,53617,207469,0,11894,3070,159793,19679,3006
2019-04-16,154371,12786,102365,109745,280126,53891,204240,0,13387,5447,157263,19249,4044
2019-04-17,149903,15273,96903,117821,264926,54299,201894,0,10979,6287,155991,19781,3539
2019-04-18,152928,16643,100324,126581,273974,55343,227671,0,13908,7342,156743,22899,2879
2019-04-19,159094,13296,92924,125876,268996,51575,196768,0,14238,2723,152625,21039,3521
2019-04-20,101395,11732,70088,88916,190726,36674,162638,0,8992,2003,112549,14328,2148
2019-04-21,97717,9763,61024,78828,170000,33619,125599,0,6868,3097,92871,14279,4240
2019-04-22,154689,16025,100904,121605,279530,56431,221287,0,9613,9006,143433,20255,2299
2019-04-23,149729,16167,91104,122801,255504,53916,194862,0,13802,6426,159923,17469,3710
2019-04-24,144656,13853,96519,118727,251843,52294,209412,0,15376,5721,150093,22375,4043
2019-04-25,152686,12475,92392,120318,250666,49521,221830,0,15067,3552,153651,19597,3938
2019-04-26,148995,14016,97716,116776,269058,55439,215658,0,12349,2331,148279,16400,2936
2019-04-27,110407,11919,71632,91348,197177,37050,148400,0,7584,3783,105482,11810,4245
2019-04-28,93857,8338,63697,80367,155136,30822,114831,0,8912,3070,88326,13898,0
2019-04-29,159675,13675,93385,124661,237589,49847,198557,0,12349,4794,156654,17265,1837
2019-04-30,149124,11999,98257,116591,250764,50255,218788,0,13135,4629,157622,21616,4202
2019-05-01,117543,13988,81065,92727,213077,41555,166870,0,10478,3348,122765,16011,1711
2019-05-02,122692,12852,72271,100444,207795,42603,168183,0,10221,3084,119899,16749,1639
2019-05-03,122571,12756,78537,97589,209187,40944,169989,0,11231,5694,114330,15516,2154
2019-05-04,113993,11776,70597,85202,177044,37916,137358,0,10278,2443,111298,14651,1279
2019-05-05,96075,9744,56859,69199,165900,31775,129658,0,6887,2754,88050,12385,2870
2019-05-06,149109,13971,88700,117613,254724,56226,200369,0,10969,4977,141494,19103,4454
2019-05-07,154850,14051,95983,110743,256378,48436,205305,0,8810,5970,147479,17513,3344
2019-05-08,139808,13631,88262,117925,251693,51941,198112,0,11685,3854,145082,19600,4640
2019-05-09,142464,18049,91589,120866,254496,51832,189975,0,10645,6311,138131,16287,1337
2019-05-10,140498,14988,91831,121664,253224,49349,198213,0,12655,4195,138511,20360,3302
2019-05-11,102417,9507,68544,85355,169961,37067,149589,0,8228,3356,106837,13913,4118
2019-05-12,82199,9422,54535,64648,157028,33176,127278,0,7149,5288,86513,12392,3292
2019-05-13,147985,12596,88855,114524,254408,51142,200131,0,13090,3630,147854,14888,5114
2019-05-14,142860,16219,91349,122671,257187,53518,206233,0,12498,5899,145449,17075,2370
2019-05-15,135571,13030,94274,109281,249544,46435,197271,0,11772,6268,150062,17955,4396
2019-05-16,137701,14684,98503,112498,235830,48903,198725,0,14174,5317,139242,19674,2573
2019-05-17,144662,15468,85007,118600,236623,53285,194088,0,12862,4727,144763,17198,3944
2019-05-18,107263,10553,65920,83429,171298,37974,149317,0,7959,6378,106561,17187,4025
2019-05-19,99174,8719,51869,80129,152426,32138,124173,0,6815,2994,84993,11082,865
2019-05-20,157872,13819,93091,108344,241139,52402,191882,0,12833,5121,148556,16937,610
2019-05-21,143662,13683,86009,106919,231007,46122,184211,0,12010,4378,132660,18129,5601
2019-05-22,135508,12888,86684,116242,230281,51273,203514,0,10190,5023,136892,16932,3757
2019-05-23,128799,13035,86734,105406,220456,51659,188826,0,12879,6107,131665,16531,2945
2019-05-24,141674,15803,88277,109443,210136,48160,194525,0,13336,4421,136642,19773,2862
2019-05-25,96161,9643,64701,78907,170793,40627,157267,0,9951,594,100181,13878,0
2019-05-26,84135,7272,56278,72508,169653,30866,125720,0,9258,3648,91375,12030,2181
2019-05-27,135627,12784,87776,112041,254573,44751,204663,0,14334,3296,138677,20017,2339
2019-05-28,137837,15098,82903,111046,227673,49631,187674,0,13843,5740,135838,18781,3117
2019-05-29,144113,14441,89838,106995,237657,47344,199436,0,11934,4723,130146,16398,3078
2019-05-30,138691,14235,86861,113719,221723,50880,190898,0,11160,5984,131608,19011,0
2019-05-31,136549,13006,90852,125634,222485,49537,192945,0,8939,3417,139670,16206,3681
2019-06-01,92671,10415,59674,80422,156861,33537,151603,0,8183,2641,103663,12096,2417
2019-06-02,75225,7290,47763,66903,142267,32726,114762,0,7714,2429,82479,10933,2293
2019-06-03,133179,12851,85692,101250,230497,49751,188136,0,11338,2643,143105,17472,2738
2019-06-04,135172,14602,90085,103809,233929,46164,180528,0,8697,6131,130712,14954,3043
2019-06-05,144846,14424,85870,105339,237128,47341,193684,0,10826,2423,133417,16138,3201
2019-06-06,135393,11684,84359,103630,226996,48505,182047,0,12051,6085,133485,17504,3330
2019-06-07,139708,11829,81765,105572,229839,46646,193607,0,9762,5163,143272,16569,3593
2019-06-08,93629,9544,67016,83570,154410,33343,120745,0,8226,3026,97498,14242,2500
2019-06-09,76203,10569,48671,70534,128737,29258,118698,0,7453,3295,73088,12723,4316
2019-06-10,127740,10170,81515,104008,213284,44856,179202,0,12557,4978,138863,15649,1944
2019-06-11,128667,13323,85786,99129,232902,42439,189161,0,13326,3995,143425,17367,2409
2019-06-12,144045,10877,77062,109888,222890,47118,182916,0,10471,4924,131393,19599,5192
2019-06-13,127335,11918,87741,103542,207717,42633,178371,0,11196,5495,127399,16972,2689
2019-06-14,136113,12271,85218,95930,224120,44434,178956,0,11205,3219,136773,16511,4147
2019-06-15,89383,8577,62745,77350,149502,29830,124073,0,8711,3693,105635,13580,2257
2019-06-16,86170,7112,53119,68205,154166,25360,118509,0,7451,0,86038,10139,1473
2019-06-17,132405,12695,81717,91944,217194,46778,172230,0,12739,1848,121763,18871,4194
2019-06-18,129010,11867,78315,98595,228421,45372,177655,0,7635,5202,134558,16021,3554
2019-06-19,129251,10479,81285,101386,231587,45161,181786,0,11313,3862,132211,16149,774
2019-06-20,125456,13703,78116,104747,211589,42957,190935,0,11373,3260,124268,17994,3071
2019-06-21,131143,13624,82967,98994,220648,44103,177967,0,10365,4327,136318,16907,1484
2019-06-22,89844,10220,61149,69045,163088,33308,125934,0,4611,2623,95143,12190,3746
2019-06-23,72507,5478,55231,65541,136601,27861,111792,0,6500,1376,86883,7461,4110
2019-06-24,120412,12847,81811,98257,221294,46564,160518,0,9624,2145,122071,16070,5331
2019-06-25,128033,13357,83489,102339,204634,46701,166658,0,12815,1687,129775,17845,3275
2019-06-26,135411,10834,78971,94832,221753,44186,172405,0,11023,5328,122193,15321,2161
2019-06-27,127166,12309,78087,93471,211242,40926,169271,0,9410,3746,128136,17496,3209
2019-06-28,125227,12088,81159,102325,218458,42922,161927,0,7679,5612,134560,16795,1498
2019-06-29,91930,11478,55713,72182,163116,31674,131571,0,8298,2504,82776,11466,5152
2019-06-30,84775,10351,49922,65029,138874,25838,109293,0,7378,3130,70251,12136,3317
2019-07-01,126244,9752,75262,96053,216995,42040,174068,0,10088,4105,130809,15772,3159
2019-07-02,122362,15764,75638,94598,219089,44093,167136,0,11162,4320,125029,15825,4085
2019-07-03,130354,10765,80684,103664,218847,48556,172503,0,9844,4372,131209,15862,2066
2019-07-04,126211,13485,81311,90808,225796,42725,175283,0,11722,3632,119830,16248,1226
2019-07-05,131935,13432,74523,102565,210665,43532,168772,0,11588,2560,124197,17226,0
2019-07-06,89608,7178,58296,75447,152973,28688,125982,0,5142,4063,92751,9328,2059
2019-07-07,69275,8122,46168,63571,138782,29245,99127,0,4430,4751,77501,11205,1390
2019-07-08,114694,11748,77274,93197,204327,44825,169905,0,12892,6419,112796,16023,3388
2019-07-09,130993,12672,81915,92327,195670,44551,177354,0,11375,3419,137993,16701,2696
2019-07-10,131002,12163,79539,94655,212277,45493,177495,0,8380,3163,123111,19406,3309
2019-07-11,120086,13530,79250,89627,204998,41870,177683,0,7932,3391,114100,15000,3756
2019-07-12,118568,11861,82889,90768,194864,41975,169169,0,10300,3888,122889,13879,681
2019-07-13,94693,8189,52245,70948,152766,33881,120081,0,5648,2890,89324,11570,3076
2019-07-14,68220,8833,43510,61313,140586,27453,99426,0,5744,1194,80140,10209,1085
2019-07-15,114568,12481,72962,89464,188871,37824,151536,0,9858,2088,125115,16871,3325
2019-07-16,122683,12664,74349,96665,213268,42901,154536,0,9767,4140,118392,14705,3998
2019-07-17,116556,10594,66770,95395,178968,40743,163002,0,11378,0,109631,14217,3999
2019-07-18,118322,10003,74023,99681,198498,43492,162923,0,12302,3910,121360,13112,2775
2019-07-19,117060,10660,72602,95285,219013,42400,174020,0,9146,2757,109296,13310,2833
2019-07-20,86522,7340,56204,71209,141589,26463,127189,0,5501,3947,91722,10400,3064
2019-07-21,80441,8219,47121,59241,125037,26150,95281,0,6557,3898,68869,9287,0
2019-07-22,117309,12794,71676,96163,206855,41607,167878,0,11900,5439,120776,18309,1282
2019-07-23,119986,11110,75592,86000,182770,41770,157438,0,9121,3512,113226,12622,2181
2019-07-24,104708,13381,75816,90769,199019,42049,165781,0,10782,2434,113753,15615,751
2019-07-25,115392,13253,70366,90828,198292,43709,166197,0,8472,2854,111656,13973,2175
2019-07-26,110619,11579,71088,89638,214634,41465,169007,0,9599,4329,119693,15347,2093
2019-07-27,75990,6859,44479,67019,129721,29222,110697,0,5299,606,79595,9943,1936
2019-07-28,66149,9206,41036,58623,117753,27281,106002,0,5909,4308,75539,10799,1484
2019-07-29,112298,11025,69499,91512,186322,44631,143607,0,9319,3456,111276,16408,3952
2019-07-30,118833,11261,72113,88740,184676,41909,167329,0,10266,4564,112917,14646,3274
2019-07-31,106060,10547,68316,86014,204464,40395,156702,0,11814,1471,114022,16925,2396
2019-08-01,114048,9794,70131,94368,194890,41007,157536,0,8929,2643,115165,15970,2053
2019-08-02,110826,8915,67408,90821,188747,40530,141459,0,6723,1307,108805,16870,2430
2019-08-03,79641,8852,52041,59653,134323,28763,109726,0,6489,4163,85668,10542,1750
2019-08-04,75453,5667,45639,54159,114163,28878,107096,0,6208,2173,68668,10531,4937
2019-08-05,115358,15394,72384,80835,187605,38175,152231,0,9602,4613,115829,13482,502
2019-08-06,119407,9326,70788,88281,179499,41757,160439,0,9086,3915,112347,13282,1211
2019-08-07,110788,9041,65129,86973,188370,39129,154734,0,11277,4449,115321,17808,1005
2019-08-08,107425,11577,68113,85046,186790,36358,162089,0,9421,3348,109413,12861,2809
2019-08-09,109668,13024,68623,94149,182395,38748,154915,0,9066,3516,106944,13788,2747
2019-08-10,80929,7843,48858,57587,137495,27003,102991,0,5557,2597,82259,7517,975
2019-08-11,69284,7484,43404,56815,119016,25217,94943,0,3313,2883,65827,7626,2711
2019-08-12,103814,8010,74331,95906,182423,38906,164183,0,9560,4337,118323,12808,2912
2019-08-13,109947,9671,71960,90794,185701,36607,155239,0,9417,7537,110238,13247,3672
2019-08-14,110347,9059,65447,85686,206843,41341,150040,0,7626,5999,101875,14655,4022
2019-08-15,122643,7829,71037,80607,205866,40471,167689,0,8966,1315,105888,14970,0
2019-08-16,118742,10722,70677,79332,175253,41312,158803,0,8802,3511,103231,12601,3307
2019-08-17,73048,4309,46300,59392,124272,27889,113845,0,5613,2110,84015,8942,0
2019-08-18,65154,4575,45118,49522,104064,23470,94774,0,4470,4010,71290,10317,1803
2019-08-19,99203,9666,67205,81285,193374,39213,154041,0,9454,3241,107364,16530,2259
2019-08-20,103675,9203,62618,82717,179014,36590,153799,0,8573,4282,108957,15810,2309
2019-08-21,108333,10955,68908,83414,184441,37846,130778,0,8051,488,106506,11411,716
2019-08-22,112903,10789,67854,85693,200447,37125,150011,0,7656,1588,111415,15618,3726
2019-08-23,101855,11610,66080,77922,180878,34495,145275,0,8615,6444,109173,16569,585
2019-08-24,72370,8493,47861,56815,136548,27048,101312,0,7556,2665,80160,7351,2683
2019-08-25,53345,8010,38679,50616,116385,22141,88740,0,5693,881,64400,10117,0
2019-08-26,103943,10206,68347,81636,173635,36503,133159,0,8384,3912,101735,13991,2280
2019-08-27,98623,10616,65847,90203,188613,37564,130779,0,9091,2150,108585,13117,4732
2019-08-28,101226,10886,66362,82954,169986,39215,153644,0,10488,3178,113159,13722,5477
2019-08-29,98963,10314,66812,74655,190092,34958,147170,0,9280,1588,110344,14183,96
2019-08-30,102948,9497,61317,83225,171296,35836,124702,0,8941,2472,112641,15210,1323
2019-08-31,64535,6746,43774,60793,122395,24696,98329,0,7026,1976,75435,11328,926
2019-09-01,56286,5081,32955,50121,99780,21093,95838,0,5133,3714,59259,6126,4459
2019-09-02,115300,10694,67357,76173,168211,35353,141099,0,8843,4165,99030,12509,2183
2019-09-03,96070,9910,60938,88832,172333,36010,152296,0,7906,4389,111236,13578,3718
2019-09-04,96786,9049,65421,76264,152812,37416,150335,0,6445,3481,92907,15752,2665
2019-09-05,112670,9018,66041,83528,173008,36780,131460,0,8973,4615,111254,9258,634
2019-09-06,118241,8188,66637,81260,169840,33976,140279,0,8951,2314,98195,12390,0
2019-09-07,66851,8564,42108,60305,132796,28385,98030,0,5699,1517,84282,7257,784
2019-09-08,60902,6243,39523,56942,111568,24039,76454,0,6623,2702,62785,6142,4511
2019-09-09,103070,8596,69736,82048,166249,33928,128870,0,7426,3082,105576,14655,2571
2019-09-10,110409,10996,69682,76916,168039,37956,133373,0,5981,3429,114471,12335,3640
2019-09-11,95066,8972,66936,83898,169593,36090,134182,0,7404,3215,99072,9590,294
2019-09-12,98839,7709,64460,76085,185293,35032,140799,0,6238,5117,98651,12810,1763
2019-09-13,104168,11210,59566,79285,162923,35921,146169,0,8747,5176,96393,16059,3246
2019-09-14,74076,6197,47776,50764,115699,25228,103096,0,4935,1605,66385,6623,102
2019-09-15,59438,5395,38301,43905,94479,22759,90857,0,6436,0,59921,8810,1265
2019-09-16,98160,9690,64420,78034,155031,35246,134799,0,9511,2420,96196,15231,986
2019-09-17,90977,11261,60051,79159,171389,34109,141008,0,6935,2159,92014,12763,3282
2019-09-18,96943,9597,61455,69901,169860,30704,134818,0,7066,4482,97465,15688,2697
2019-09-19,96469,7792,62431,79220,179521,35571,132136,0,8852,4591,100810,11764,3075
2019-09-20,98908,10297,62518,73243,176698,33702,149587,0,9427,1945,93023,14882,3321
2019-09-21,66992,6116,45974,60689,142401,26227,79111,0,3099,1376,69427,10939,1232
2019-09-22,62744,8602,35958,45782,102086,22149,68875,0,5373,59,68171,7782,2676
2019-09-23,102281,9412,56371,71177,162783,33420,136697,0,5059,3486,89170,10359,1328
2019-09-24,97229,6131,66539,76149,152425,35983,131311,0,7260,3234,107456,11047,2962
2019-09-25,98004,9873,69361,71590,170764,34278,121915,0,9451,4349,92683,8993,0
2019-09-26,96043,12152,62036,80852,164772,34089,124412,0,12012,3944,97228,13360,1097
2019-09-27,95442,11586,55655,75092,169280,33391,124982,0,7601,4086,102903,13140,5224
2019-09-28,64507,9333,40561,53231,106308,27441,101599,0,4003,260,77550,9039,2330
2019-09-29,60543,4241,38911,48831,103811,19345,90623,0,4188,1164,61624,7472,2117
2019-09-30,93986,10531,64382,69996,163496,32708,143327,0,7936,4512,91028,14345,965
2019-10-01,106775,8219,55892,69293,164030,31163,119566,0,6999,2527,91219,12844,615
2019-10-02,103595,9566,59500,76437,155737,34886,120841,0,6629,1047,92066,11526,1728
2019-10-03,96725,7358,60426,69638,172913,32226,119896,0,7276,4324,105437,12539,1988
2019-10-04,90070,8243,62570,69398,180531,32338,140319,0,8362,2444,92520,15350,4657
2019-10-05,61520,5605,41539,56880,105167,22858,96821,0,5389,3748,69724,9745,2863
2019-10-06,64671,6963,31225,47983,106086,20608,80981,0,3632,1961,52513,6979,1423
2019-10-07,94839,10258,61150,68018,132417,30497,130967,0,6848,2818,87323,12094,2141
2019-10-08,95742,9467,62720,70544,165420,28456,128362,0,7169,5022,93587,12817,3069
2019-10-09,83144,7070,58315,69072,140920,33618,119808,0,6354,1413,91340,11452,259
2019-10-10,97621,8552,59832,80497,153125,28499,131900,0,6724,5098,91447,11280,0
2019-10-11,94710,7892,56573,76478,145173,34182,126142,0,8523,2288,84339,11989,3030
2019-10-12,60030,7708,38838,50229,111058,26376,82371,0,5182,2481,66013,10895,1551
2019-10-13,54191,7245,39457,47193,105004,19712,82979,0,2348,2173,65612,8583,0
2019-10-14,92775,10428,59027,65945,138524,34740,123090,0,8965,2545,86929,11277,0
2019-10-15,91315,7764,59202,68689,152181,32056,127684,0,8119,2083,96352,13157,3207
2019-10-16,89119,4849,62552,71843,150230,35119,124586,0,5665,2602,71852,11829,1290
2019-10-17,89873,6236,53440,73126,169527,31009,131960,0,7015,1722,86336,12295,2528
2019-10-18,88763,10847,55013,70508,158173,27185,126426,0,6415,5731,79896,12121,1625
2019-10-19,65549,5716,41418,51987,99468,22665,82767,0,6285,1562,71812,5261,1376
2019-10-20,63677,4316,33108,44038,90475,22919,79310,0,4109,3463,60629,2662,421
2019-10-21,75105,11085,59132,69543,167327,32537,126265,0,7315,4439,83895,11968,1859
2019-10-22,87701,10508,55563,68742,158886,30388,127068,0,7134,3533,90955,10312,2735
2019-10-23,89703,8675,52572,67952,142972,31934,130688,0,5368,2850,95733,9095,1578
2019-10-24,90080,8185,56089,70593,148641,33086,117659,0,9240,3285,96312,10284,1494
2019-10-25,86105,8392,56275,71149,148460,30926,127090,0,8213,3786,86244,12867,2758
2019-10-26,53560,6491,43226,50644,103060,27437,74351,0,4244,2299,51254,8776,2301
2019-10-27,56124,7616,35674,37603,76665,18146,74227,0,4768,0,49530,8230,0
2019-10-28,96869,9117,56759,64353,142838,32751,118713,0,8564,530,91902,12050,1880
2019-10-29,78558,9531,56090,70214,161892,32183,131504,0,7301,5012,99018,9956,1206
2019-10-30,91536,10149,54139,74661,144686,29234,118846,0,9304,0,86788,12463,1925
2019-10-31,84666,6719,52119,68704,146837,29673,124309,0,11119,3220,83443,12141,3836
2019-11-01,86513,9555,55862,66541,149772,32617,106692,0,7040,2652,100498,11134,2393
2019-11-02,56511,5641,38205,50017,127498,22266,83553,0,4388,2348,64821,8205,4291
2019-11-03,51653,1549,39692,37149,91529,19529,67552,0,3106,290,46892,8156,1472
